guideline_id,filename,guideline_name,icd10,age_category,file_size_bytes,sha256,candidate_section_count,candidate_chunk_count
132_2,132_2.pdf,Острый промиелоцитарный лейкоз,C92.4,Взрослые,2701601,6425fac48b7063a89045fce9a4d0295dac785ad7fa7c9c2affae53c94396c857,13,62
134_2,134_2.pdf,Хронический лимфоцитарный лейкоз /  лимфома из малых лимфоцитов,C91.1,Взрослые,1699718,ddffdd7baacf19f0a0c3b499979fabf04fecfff4ace319740e15b09ab38805fc,9,24
136_2,136_2.pdf,Лимфома из клеток мантии,"C83.1, C85.1",Взрослые,1254788,cc8adc3b2803a0a74c7844100738f398b874b00fef15fbec94788a99ed4a04c1,9,135
137_2,137_2.pdf,Лимфома маргинальной зоны,C83.0,Взрослые,2714212,4a78deeb384cb74d0e288c0369156d1376fc7332bf6042aad763b12490ecf4d3,35,177
138_2,138_2.pdf,Нодальные Т-клеточные лимфомы,"C84.5, C84.6, C84.7, C84.9, C86.0, C86.1, C86.5","Взрослые, дети",1567329,6cb53d0321fab7f3bf93163421424b601c005c51e33097e518c1c7413ce00149,42,119
139_2,139_2.pdf,Лимфома Ходжкина,C81,"Взрослые, дети",2571761,2347cd746de308adeb6c4bd81022b8d22c4c9a7de7fa3d4f99d8999d10e15a23,39,155
141_2,141_2.pdf,Миелодиспластический синдром. Миелодиспластические/ миелопролиферативные новообразования ,"C92.2, C93.1, C94.6, D46, D46.0, D46.1, D46.2, D46.4, D46.5, D46.6, D46.7, D46.9",Взрослые,1716229,22b2c7e45117aaca76e75ca8809ee4e181c8c6dcf6fec47e71fa814529570b90,13,77
144_2,144_2.pdf,Множественная миелома,C90.0,Взрослые,1474257,8b0d4b50327de943cff0a941f85863e164eca88589fb989784f936a72f1f4614,32,101
145_3,145_3.pdf,Острые порфирии,E80.2,"Взрослые, дети",1620658,a0bb911878e6e757e8179c7ff90042d7c1703a79a37a71d3fde0e3a639b62fa6,34,69
146_2,146_2.pdf,"Психические и поведенческие расстройства, вызванные употреблением алкоголя. Амнестический синдром, вызванный употреблением алкоголя.",F10.6,Взрослые,1530579,d316aad868f2eede6c4996f420696caa08b7539c8b2905ec9d22c20042af7b87,13,52
149_2,149_2.pdf,"Редкие коагулопатии: наследственный дефицит факторов свертывания крови II, VII, X",D68.2,"Взрослые, дети",1259713,0f42d937f22d774884eb59c86448ddc6e8176b3c38ca3c75f93889b9651b595d,20,49
14_3,14_3.pdf,Цистит у женщин,"N30.0, N30.1, N30.2",Взрослые,2304870,f561b85da4f1efad2336ac61c00713562d139724efd18d5ed24c840e9aa87719,20,53
150_3,150_3.pdf,Идиопатическая тромбоцитопеническая пурпура (ИТП) у взрослых,D69.3,Взрослые,1711805,76c52dc2da0da8dba861ed3ceaa6dad01734fd81bf2dec8a23e28f443cce7103,31,65
151_2,151_2.pdf,Фолликулярная лимфома,"C82, C85.9","Взрослые, дети",1688165,9c5a548fffe07038891b755af2e380ad2cad61f0e793f75fe913657a31f5ee58,35,122
153_2,153_2.pdf,Миокардиты ,"I40, I40.0, I40.1, I40.8, I40.9, I41, I41.0, I41.1, I41.2, I41.8, I51.4",Взрослые,1356322,2fd3efc57155ff461479a48e08aa588e29efd8e1fc14b4a495768fd92090d5a5,26,157
154_4,154_4.pdf,Острый коронарный синдром без подъема сегмента ST электрокардиограммы,"I20.0, I21.0, I21.1, I21.2, I21.3, I21.4, I21.9, I22.0, I22.1, I22.8, I22.9, I24.8, I24.9",Взрослые,2433526,56101c677c386189c3b9bfcbf6d296aca62fae2aa1f5f282bf1817e440c0b2c3,13,139
155_2,155_2.pdf,Стабильная ишемическая болезнь сердца,"I20.0, I20.1, I20.8, I20.9, I25.0, I25.1, I25.2, I25.3, I25.4, I25.5, I25.6, I25.8, I25.9, Q24.5",Взрослые,2034401,262cdf36ae1b756374d2f8ae87a9d6f0eb8e412ed22cb43930f5e69f2a5d9570,40,202
156_2,156_2.pdf,Хроническая сердечная недостаточность ,"I50.0, I50.1, I50.9",Взрослые,8941536,832528762dd7e0979240fa0ef3efb3c7918e82b43ac3049137f2c38168ca1a84,1,275
157_5,157_5.pdf,Острый инфаркт миокарда с подъемом сегмента ST электрокардиограммы,"I21.0, I21.1, I21.2, I21.3, I21.9, I22.0, I22.1, I22.8, I22.9, I24.0, I24.8, I24.9",Взрослые,1930156,0a840e2efe5c612b974052fb386830fc40c616588c1e50743b9f0b65857120f7,13,129
159_2,159_2.pdf,"Легочная гипертензия, в том числе хроническая тромбоэмболическая легочная гипертензия","I27.0, I27.2, I27.8",Взрослые,2495704,fe0848b08f29b4955d8ea2af7d98bf6b099b3e9baaa576ddda1275fbd4439ade,34,220
15_3,15_3.pdf,Эректильная дисфункция ,"F52.2, N48.4",Взрослые,1256688,74aa9f889600daf5217a39ffc679d4b426bede532f537c3ea5a5a8b4ecbcacd0,23,47
160_2,160_2.pdf,Брадиаритмии и нарушения проводимости,"I44, I44.0, I44.1, I44.2, I44.3, I44.4, I44.5, I44.6, I44.7, I45.0, I45.1, I45.2, I45.3, I45.4, I45.5, I45.8, I45.9, I46, I46.0, I46.1, I46.9, I49.5",Взрослые,1992331,ef3c51e1a5556c5de3ed94109c18d9091b6ac3fbe68836d5e97041ce493e89b5,24,198
161_2,161_2.pdf,"Психические и поведенческие расстройства,  вызванные употреблением психоактивных веществ Синдром зависимости от психоактивных веществ (кроме алкоголя и никотина)","F11.2, F12.2, F13.2, F14.2, F15.2, F16.2, F18.2, F19.2","Взрослые, дети",1173970,27e1522d13850230993b29da21370f13c62b026e5245f48bc744585fab8b6e73,21,90
