Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Бартизар,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,1 мг,
Бортезомиб,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,3.5 мг,
Бортезомиб-Тева,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,3.5 мг,
БОРТЕЗОМИБ-ПРОМОМЕД,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,"2.5 мг, 3 мг, 3.5 мг",
Борамилан,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,3.5 мг,
Борамилан,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,"2.5 мг, 3 мг",
Бортезомиб Канон,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,"2.5 мг, 3 мг, 3.5 мг",
Бортезомиб,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,"2.5 мг, 3 мг, 3.5 мг",
Верозомиб,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,3.5 мг,
Боратерин,Бортезомиб,лиофилизат для приготовления раствора для внутривенного и подкожного введения,3.5 мг,
Ликферр100,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
АлвиферГем,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Велферрум®,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Железа [III] гидроксид сахарозный комплекс,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Железа [III] гидроксид сахарозный комплекс,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Железа [III] гидроксид сахарозный комплекс,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Бинноферум,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Айронгард,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Айрондекст,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
ЖЕЛЕЗА (III) ГИДРОКСИД САХАРОЗНЫЙ КОМПЛЕКС,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Железа [III] гидроксид сахарозный комплекс APC,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Трикомбия,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Виалфер,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Железа (III) гидроксид сахарозный комплекс,Железа [III] гидроксид сахарозный комплекс,раствор для внутривенного введения,20 мг/мл,
Илопрост-Фармасинтез,Илопрост,раствор для ингаляций,10 мкг/мл,
Илопера,Илопрост,раствор для ингаляций,10 мкг/мл,
Илопрост ПСК,Илопрост,раствор для ингаляций,10 мкг/мл,
Вебулис,Илопрост,раствор для ингаляций,10 мкг/мл,
Новатрон нео,Сальбутамол,аэрозоль для ингаляций дозированный,100 мкг/доза,
САЛЬБУТАМОЛ-ТЕВА,Сальбутамол,аэрозоль для ингаляций дозированный,100 мкг/доза,
Сальбутамол,Сальбутамол,аэрозоль для ингаляций дозированный,100 мкг/доза,
САЛЬБУТАМОЛ,Сальбутамол,аэрозоль для ингаляций дозированный,100 мкг/доза,
Сальбутамол Эйр,Сальбутамол,аэрозоль для ингаляций дозированный,100 мкг/доза,
ТРЕТИНОИН,Третиноин,капсулы,10 мг,
Ангиофлюкс,Сулодексид,капсулы,250 ЛЕ,
Ангиофлюкс,Сулодексид,раствор для внутривенного и внутримышечного введения,600 ЛЕ/2мл,
Тромболикс® Про,Сулодексид,раствор для внутривенного и внутримышечного введения,600 ЛЕ/2мл,
Вивайра,Силденафил,таблетки жевательные,"25 мг, 50 мг, 100 мг",Пациенты с фенилкетонурией
Максигра,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
СИНЕГРА®,Силденафил,"таблетки, покрытые пленочной оболочкой","50 мг, 100 мг",
Виатайл,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденалав,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденафил-Тева,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденафил-СЗ,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Визарсин,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Динамико,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденафил,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
СИЛДЕНАФИЛ,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
СИЛДЕМАКС®,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденафил,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Силденафил,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
Камастил,Силденафил,"таблетки, покрытые пленочной оболочкой","25 мг, 50 мг, 100 мг",
РАБЕСТРОМ,Силденафил,"пленки, диспергируемые в полости рта","25 мг, 50 мг, 75 мг, 100 мг",
Силденафил Экспресс Канон,Силденафил,"таблетки, диспергируемые в полости рта",50 мг,Пациенты с фенилкетонурией
МОКСИ,Моксифлоксацин,капли глазные,0.5%,
Моксифлоксацин,Моксифлоксацин,капли глазные,0.5%,
Моксифур,Моксифлоксацин,капли глазные,0.5%,
Ксафлом,Моксифлоксацин,капли глазные,0.5%,
Моксиофтан,Моксифлоксацин,капли глазные,0.5%,
Фортимокс,Моксифлоксацин,капли глазные,5 мг/мл,
Моксиграм,Моксифлоксацин,капли глазные,0.5%,
Максифлокс,Моксифлоксацин,капли глазные,5 мг/мл,
Ксифломакс®,Моксифлоксацин,капли глазные,5 мг/мл,
Тимилокс®,Моксифлоксацин,капли глазные,0.5%,
ДляЖенс метри,Диеногест,таблетки,2 мг,
НОРМЕТРИЛЛА,Диеногест,таблетки,2 мг,
Диендал®,Диеногест,таблетки,2 мг,
Метсимта®,Диеногест,таблетки,2 мг,
Эндомеклин®,Диеногест,таблетки,2 мг,
Офтрикс,Тетризолин,капли глазные,0.05%,
ВизОптик,Тетризолин,капли глазные,0.05%,
ОПТИНОЛ® ТЕТРИЗОЛИН,Тетризолин,капли глазные,0.5 мг/мл,
ВИЗОККО® ТЕТРИЗОЛИН,Тетризолин,капли глазные,0.5 мг/мл,
Монтевизин,Тетризолин,капли глазные,0.05%,
Йодискан,Йодиксанол,"раствор для инъекций, приема внутрь и ректального введения","150 мг йода/мл, 270 мг йода/мл, 320 мг йода/мл",
ЙОДИКСАНОЛ,Йодиксанол,раствор для инъекций,"150 мг йода/мл, 270 мг йода/мл, 320 мг йода/мл",
Йодиксанол,Йодиксанол,раствор для инъекций,"270 мг йода/мл, 320 мг йода/мл",
Йодиксанол,Йодиксанол,раствор для инъекций,"150 мг йода/мл, 270 мг йода/мл, 320 мг йода/мл",
Квинлиро,Лираглутид,раствор для подкожного введения,6 мг/мл,
Шугалес,Лираглутид,раствор для подкожного введения,6 мг/мл,
Мелитид,Лираглутид,раствор для подкожного введения,6 мг/мл,
Лакосамид Фармасинтез,Лакосамид,"таблетки, покрытые пленочной оболочкой","50 мг, 100 мг, 150 мг, 200 мг",
Лакосамид,Лакосамид,"таблетки, покрытые пленочной оболочкой","50 мг, 100 мг, 150 мг, 200 мг",
Лакосамид,Лакосамид,"таблетки, покрытые пленочной оболочкой","50 мг, 100 мг, 150 мг, 200 мг",
Лакосамид,Лакосамид,раствор для инфузий,10 мг/мл,
Новолера® ЭПИ,Лакосамид,раствор для приема внутрь,10 мг/мл,
АЛОГЛИПТИН ГЛИКВИТАБС®,Алоглиптин,"таблетки, покрытые пленочной оболочкой","12.5 мг, 25 мг",
Невирапин,Невирапин,суспензия для приема внутрь,10 мг/мл,
Тенофовир ВМ,Тенофовир,"таблетки, покрытые пленочной оболочкой",300 мг,
Тенофовир,Тенофовир,"таблетки, покрытые пленочной оболочкой","150 мг, 300 мг",
ТЕНОФОВИР,Тенофовир,"таблетки, покрытые пленочной оболочкой","150 мг, 300 мг",
Тенофовир-Эдвансд,Тенофовир,"таблетки, покрытые пленочной оболочкой","150 мг, 300 мг",
ТЕНОФОЛЕК®,Тенофовир,"таблетки, покрытые пленочной оболочкой",300 мг,
ТЕНОФ® 300,Тенофовир,"таблетки, покрытые пленочной оболочкой",300 мг,
Пикторид-СОЛОфарм,Пиклоксидин,капли глазные,0.05%,
Пиклосепт,Пиклоксидин,капли глазные,0.5 мг/мл,
Пиклоксидин,Пиклоксидин,капли глазные,0.05%,
ПИКЛОНОРД®,Пиклоксидин,капли глазные,0.5 мг/мл,
Бактавит,Пиклоксидин,капли глазные,0.5 мг/мл,
ОКУЛАРИС® АНТИСЕПТ,Пиклоксидин,капли глазные,0.5 мг/мл,
Ворингин,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол ПСК,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
ВОРИЛИОФ,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол Дж,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол-Рус,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол-АМЕДАРТ,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол ТРИВИУМ®,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Сальвозол,Вориконазол,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,200 мг,
Вориконазол Сандоз,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",
ВОРИКОЗ,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",
Виканд,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",
Вориконазол Канон,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",
ВОРИКОНАЗОЛ,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",
Бифлурин,Вориконазол,"таблетки, покрытые пленочной оболочкой","50 мг, 200 мг",Пациенты с редкой врожденной непереносимостью фруктозы.
Вориконазол Кроно,Вориконазол,порошок для приготовления суспензии для приема внутрь,40 мг/мл,
Каботегравир,Каботегравир,"таблетки, покрытые пленочной оболочкой",30 мг,
Амбризентан-29Ф,Амбризентан,"таблетки, покрытые пленочной оболочкой","5 мг, 10 мг",
Амбризентан Канон,Амбризентан,"таблетки, покрытые пленочной оболочкой","5 мг, 10 мг",
Амбризентан ПСК,Амбризентан,"таблетки, покрытые пленочной оболочкой","5 мг, 10 мг",
Дифендум,Диклофенак,капсулы,"12.5 мг, 25 мг",Пациенты с редкой врожденной непереносимостью фруктозы.
ДиклАртис®,Диклофенак,пластырь трансдермальный,15 мг/сут,
ДИКЛОФЕНАК,Диклофенак,пластырь трансдермальный,15 мг/сут,
Диклоген,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак Реневал,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Ортофер,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
ВЕЛТАВЕЛ,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
ДИКЛОФЕНАК,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Наклофен,Диклофенак,раствор для внутримышечного введения,75 мг/3 мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,75 мг/3 мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,75 мг/3 мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак-АКОС,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак Велфарм,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофарм,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
Диклофенак,Диклофенак,раствор для внутримышечного введения,25 мг/мл,
ПАЗОПАНИБ-ПРОМОМЕД,Пазопаниб,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Пазопаниб-Фарм-Синтез,Пазопаниб,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Амезопан,Пазопаниб,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Гадобускан®,Гадобутрол,раствор для внутривенного введения,1 ммоль/мл,
Гадобутрол,Гадобутрол,раствор для внутривенного введения,1 ммоль/мл,
Гадобутрол,Гадобутрол,раствор для внутривенного введения,1 ммоль/мл,
Гадобутрол-ТЛ,Гадобутрол,раствор для внутривенного введения,1 ммоль/мл,
Гадобутрол,Гадобутрол,раствор для внутривенного введения,1 ммоль/мл,
ТАМЕРОН,Аминодигидрофталазиндион натрия,лиофилизат для приготовления раствора для внутримышечного введения,100 мг,
Тамерит,Аминодигидрофталазиндион натрия,лиофилизат для приготовления раствора для внутримышечного введения,100 мг,
Вилдаглиптин,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин Фармасинтез,Вилдаглиптин,таблетки,50 мг,
ВИЛДАГЛИПТИН ГЛИКВИТАБС®,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин Реневал,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин-СЗ,Вилдаглиптин,таблетки,50 мг,
ВИЛДАГЛИПТИН,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин Канон,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин,Вилдаглиптин,таблетки,50 мг,
Глидави,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин ПСК,Вилдаглиптин,таблетки,50 мг,
Илдиглип,Вилдаглиптин,таблетки,50 мг,
ВИЛДАРИЛ,Вилдаглиптин,таблетки,50 мг,
Вилдус,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин-ВЕРТЕКС,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин,Вилдаглиптин,таблетки,50 мг,
Вилдаглиптин,Вилдаглиптин,таблетки,50 мг,
Глипвило®,Вилдаглиптин,таблетки,50 мг,
Галоперидол,Галоперидол,раствор для внутривенного и внутримышечного введения,5 мг/мл,
Галоперидол-Ферейн®,Галоперидол,раствор для внутривенного и внутримышечного введения,5 мг/мл,
Галоперидол Велфарм,Галоперидол,раствор для внутривенного и внутримышечного введения,5 мг/мл,
Галоперидол,Галоперидол,раствор для внутримышечного введения,5 мг/мл,
Галоперидол,Галоперидол,раствор для внутримышечного введения,5 мг/мл,
Итоприд,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итопра,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итоприд-СЗ,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итоприд Реневал,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,Пациенты с непереносимостью фруктозы
Итоприд,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итоприд Канон,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итоприд-ВЕРТЕКС,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
ИТОПРИД,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итомед,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,
Итоприд,Итоприд,"таблетки, покрытые пленочной оболочкой",50 мг,Пациенты с непереносимостью фруктозы
Актиприд Солюшн Таблетс,Итоприд,таблетки диспергируемые,50 мг,Пациенты с фенилкетонурией
Гелангин флекс,Гексэтидин,аэрозоль для местного применения,0.2%,
ГЕКСЭТИДИН,Гексэтидин,аэрозоль для местного применения,0.2%,
Гексэтидин,Гексэтидин,аэрозоль для местного применения,0.2%,
Максиколд Лор,Гексэтидин,спрей для местного применения,0.2%,
ФАРИНОРМ® Гексэтидин,Гексэтидин,спрей для местного применения,0.2%,
Стопангин®-Тева,Гексэтидин,спрей для местного применения,0.2%,
Гексэтидин-Акрихин,Гексэтидин,спрей для местного применения,0.2%,
Гелангин нова,Гексэтидин,раствор для местного применения,0.1%,
ГЕКСЭТИДИН,Гексэтидин,раствор для местного применения,0.1%,
ГЕКСЭТИДИН,Гексэтидин,раствор для местного применения,0.1%,
Стоматидин®,Гексэтидин,раствор для местного применения,0.1%,
Гемцитабин,Гемцитабин,концентрат для приготовления раствора для инфузий,40 мг/мл,
Гемцитабин-АМЕДАРТ,Гемцитабин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Гемцитабин-Эбеве,Гемцитабин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Гемцитабин-Тева,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитабин-Келун-Казфарм,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцивин,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг, 1400 мг, 1500 мг",
ГЕМЦИТАБИН-ПРОМОМЕД,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг, 1400 мг, 1500 мг",
Гемцитабин-АМЕДАРТ,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг, 1400 мг, 1500 мг",
Онгецин,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитар,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитабин-РОНЦ,Гемцитабин,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитабин,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитабин медак,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг, 1500 мг",
Гемцитабин-Рус,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитабин,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемтаз,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемцитовер,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Гемита,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг, 1400 мг",
Гемтакс онко,Гемцитабин,лиофилизат для приготовления раствора для инфузий,"200 мг, 1000 мг",
Самеликс,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Гептразан,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Гепаретта,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Гепцифол экспресс,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Адеметионин ПСК,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Адеметионин,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Аметрал®,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Адеметионин-Ферейн®,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
РЕГЕПАТОН®,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
АДЕМЕТИОНИН,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
ГЕПРЕДА,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Гептор,Адеметионин,лиофилизат для приготовления раствора для внутривенного и внутримышечного введения,400 мг,
Гертикад,Трастузумаб,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"150 мг, 440 мг",
Трастузумаб,Трастузумаб,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"150 мг, 440 мг",
Трастузумаб,Трастузумаб,лиофилизат для приготовления концентрата для приготовления раствора для инфузий,"150 мг, 440 мг",
Гидазепам®,Гидразинокарбонилметилбромфенилдигидробенздиазепин,таблетки,"20 мг, 50 мг",
Веротекан,Топотекан,лиофилизат для приготовления раствора для инфузий,1 мг,
Топотекан-Тева,Топотекан,лиофилизат для приготовления раствора для инфузий,"1 мг, 4 мг",
Веротекан,Топотекан,лиофилизат для приготовления раствора для инфузий,4 мг,
Несклер,Финголимод,капсулы,0.5 мг,
Лифеспан®,Финголимод,капсулы,0.5 мг,
Финголимод Канон,Финголимод,капсулы,0.5 мг,
Склимод®,Финголимод,капсулы,0.5 мг,
Афатиниб,Афатиниб,"таблетки, покрытые пленочной оболочкой","20 мг, 30 мг, 40 мг, 50 мг",
АФАТИНИБ-ПРОМОМЕД,Афатиниб,"таблетки, покрытые пленочной оболочкой","20 мг, 30 мг, 40 мг, 50 мг",
Гидрохлоротиазид,Гидрохлоротиазид,таблетки,25 мг,
Холитилин,Холина альфосцерат,капсулы,400 мг,
Церетон®,Холина альфосцерат,капсулы,400 мг,
Церепро,Холина альфосцерат,капсулы,400 мг,
Холи-Альфа,Холина альфосцерат,раствор для внутримышечного введения и инфузий,250 мг/мл,
ХОЛИБРЕЙН,Холина альфосцерат,раствор для внутримышечного введения и инфузий,1000 мг,
Холитилин,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
ЦЕРЕБРОФОРС®,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Нооприн,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Ноохолин Ромфарм,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Церетон®,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
ЛОГАЦЕР,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
ГЛИАТАБ®-250,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Холина альфосцерат,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Глеацер,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Церепро,Холина альфосцерат,раствор для внутривенного и внутримышечного введения,250 мг/мл,
Церпехол,Холина альфосцерат,раствор для приема внутрь,600 мг/7 мл,
ЦЕРЕБРОФОРС®,Холина альфосцерат,раствор для приема внутрь,600 мг/7 мл,
Иматиниб,Иматиниб,капсулы,"50 мг, 100 мг",
Иматиниб,Иматиниб,капсулы,100 мг,
Филахромин,Иматиниб,капсулы,"50 мг, 100 мг",
Иматиб,Иматиниб,капсулы,"50 мг, 100 мг",
Неопакс,Иматиниб,капсулы,"100 мг, 400 мг",
Иматиниб-Тева,Иматиниб,капсулы,100 мг,
Имвек,Иматиниб,капсулы,"50 мг, 100 мг",
Иматиниб-Сигардис,Иматиниб,капсулы,"100 мг, 200 мг, 400 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
ИМАТИНИБ-ТЛ,Иматиниб,капсулы,"50 мг, 100 мг",
ИМАТИНИБ ГРИНДЕКС,Иматиниб,капсулы,100 мг,
Иматиниб,Иматиниб,"таблетки, покрытые пленочной оболочкой","100 мг, 400 мг",
Иматиниб,Иматиниб,"таблетки, покрытые пленочной оболочкой","100 мг, 400 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Иматиниб,Иматиниб,"таблетки, покрытые пленочной оболочкой","100 мг, 400 мг",
Цитониб®онко,Иматиниб,"таблетки, покрытые пленочной оболочкой","100 мг, 400 мг",
Метформин-Акрихин,Метформин,"таблетки, покрытые пленочной оболочкой","850 мг, 1000 мг",
МЕТФОРМИН,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
МЕТФОРМИН,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин-ВЕРТЕКС,Метформин,"таблетки, покрытые пленочной оболочкой",1000 мг,
Метформин Канон,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Сиофор® 500,Метформин,"таблетки, покрытые пленочной оболочкой",500 мг,
Сиофор®  850,Метформин,"таблетки, покрытые пленочной оболочкой",850 мг,
Сиофор® 1000,Метформин,"таблетки, покрытые пленочной оболочкой",1000 мг,
Метформин-Тева,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин-ВЕРТЕКС,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг",
Метформин Реневал,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин Медисорб,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин Санофи,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг",
Метформин,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 1000 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Метформин,Метформин,"таблетки, покрытые пленочной оболочкой","500 мг, 850 мг, 1000 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Форметин,Метформин,таблетки,"500 мг, 850 мг, 1000 мг",
Метформин,Метформин,таблетки,"500 мг, 850 мг, 1000 мг",
Метформин-СЗ Лонг,Метформин,таблетки с пролонгированным высвобождением,"500 мг, 750 мг, 1000 мг",
